"url","album_title","release_date","song_title","word","eng"
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","come",1
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","here",1
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","i’m",1
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","bout",1
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","to",1
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","take",1
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","u",1
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","higher",1
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","we",1
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","about",1
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","to",1
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","set",1
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","this",1
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","love",1
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","on",1
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","fire",1
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","이런",0
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","느낌",0
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","처음이야",0
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","엄마도",0
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","못",0
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","말렸으",0
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","내",0
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","진심을",0
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","말했고",0
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","결국에는",0
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","내가",0
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","이겼으",0
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","baby",1
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","u",1
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","should",1
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","know",1
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","u",1
"https://colorcodedlyrics.com/2014/08/bts-bangtansonyeondan-intro-what-am-i-to-you","DARK & WILD",2014-08-20,"Intro: What Am I To You","change",1
